repeat,max_channels,selected_channels,balance,add_time,add_stft,pca,post_ma,post_kofn,model,time_s,n_train,n_eval,metric_roc_auc,metric_accuracy,metric_precision,metric_sensitivity,metric_specificity,metric_f1,metric_f_beta,metric_fpr,metric_tp,metric_tn,metric_fp,metric_fn,train_counts_before.0,train_counts_before.1,train_counts_after.0,train_counts_after.1
0,3,"[0, 1, 2]",none,True,True,0,0,,logreg,0.03942584991455078,80,80,0.35416666666666674,0.3625,0.2127659574468085,0.4166666666666667,0.3392857142857143,0.28169014084507044,0.3496503496503497,0.6607142857142857,10.0,19.0,37.0,14.0,56,24,56,24
0,3,"[0, 1, 2]",none,True,True,0,0,,svm_rbf,0.0297238826751709,80,80,0.6041666666666667,0.6375,0.4,0.4166666666666667,0.7321428571428571,0.40816326530612246,0.41322314049586784,0.26785714285714285,10.0,41.0,15.0,14.0,56,24,56,24
0,3,"[0, 1, 2]",none,True,True,0,0,,rf,0.6101088523864746,80,80,0.6160714285714285,0.625,0.25,0.125,0.8392857142857143,0.16666666666666666,0.1388888888888889,0.16071428571428573,3.0,47.0,9.0,21.0,56,24,56,24
0,3,"[0, 1, 2]",none,True,True,0,0,,gb,0.34627485275268555,80,80,0.590029761904762,0.6625,0.45161290322580644,0.5833333333333334,0.6964285714285714,0.509090909090909,0.5511811023622047,0.30357142857142855,14.0,39.0,17.0,10.0,56,24,56,24
0,3,"[0, 1, 2]",none,True,True,0,0,,knn,0.1797339916229248,80,80,0.5632440476190477,0.625,0.36363636363636365,0.3333333333333333,0.75,0.34782608695652173,0.33898305084745767,0.25,8.0,42.0,14.0,16.0,56,24,56,24
0,3,"[0, 1, 2]",oversample,True,True,0,0,,logreg,0.0253450870513916,112,80,0.39434523809523814,0.3375,0.21568627450980393,0.4583333333333333,0.2857142857142857,0.29333333333333333,0.37414965986394555,0.7142857142857143,11.0,16.0,40.0,13.0,56,24,56,56
0,3,"[0, 1, 2]",oversample,True,True,0,0,,svm_rbf,0.01837897300720215,112,80,0.6510416666666666,0.625,0.425,0.7083333333333334,0.5892857142857143,0.53125,0.625,0.4107142857142857,17.0,33.0,23.0,7.0,56,24,56,56
0,3,"[0, 1, 2]",oversample,True,True,0,0,,rf,0.5514340400695801,112,80,0.6346726190476191,0.6875,0.4782608695652174,0.4583333333333333,0.7857142857142857,0.46808510638297873,0.46218487394957986,0.21428571428571427,11.0,44.0,12.0,13.0,56,24,56,56
0,3,"[0, 1, 2]",oversample,True,True,0,0,,gb,0.3185610771179199,112,80,0.6041666666666666,0.6375,0.3684210526315789,0.2916666666666667,0.7857142857142857,0.32558139534883723,0.3043478260869565,0.21428571428571427,7.0,44.0,12.0,17.0,56,24,56,56
0,3,"[0, 1, 2]",oversample,True,True,0,0,,knn,0.017061948776245117,112,80,0.5930059523809523,0.5875,0.37142857142857144,0.5416666666666666,0.6071428571428571,0.4406779661016949,0.4961832061068702,0.39285714285714285,13.0,34.0,22.0,11.0,56,24,56,56
0,4,"[0, 1, 2, 3]",none,True,True,0,0,,logreg,0.027028799057006836,80,80,0.43377976190476186,0.475,0.23529411764705882,0.3333333333333333,0.5357142857142857,0.27586206896551724,0.3076923076923077,0.4642857142857143,8.0,30.0,26.0,16.0,56,24,56,24
0,4,"[0, 1, 2, 3]",none,True,True,0,0,,svm_rbf,0.023757219314575195,80,80,0.5699404761904762,0.7,0.5,0.20833333333333334,0.9107142857142857,0.29411764705882354,0.2358490566037736,0.08928571428571429,5.0,51.0,5.0,19.0,56,24,56,24
0,4,"[0, 1, 2, 3]",none,True,True,0,0,,rf,0.6563189029693604,80,80,0.5725446428571428,0.675,0.25,0.041666666666666664,0.9464285714285714,0.07142857142857142,0.04999999999999999,0.05357142857142857,1.0,53.0,3.0,23.0,56,24,56,24
0,4,"[0, 1, 2, 3]",none,True,True,0,0,,gb,0.3661341667175293,80,80,0.4977678571428571,0.6125,0.37037037037037035,0.4166666666666667,0.6964285714285714,0.39215686274509803,0.4065040650406504,0.30357142857142855,10.0,39.0,17.0,14.0,56,24,56,24
0,4,"[0, 1, 2, 3]",none,True,True,0,0,,knn,0.019344806671142578,80,80,0.4791666666666667,0.6625,0.38461538461538464,0.20833333333333334,0.8571428571428571,0.2702702702702703,0.22935779816513763,0.14285714285714285,5.0,48.0,8.0,19.0,56,24,56,24
0,4,"[0, 1, 2, 3]",oversample,True,True,0,0,,logreg,0.024163007736206055,112,80,0.4866071428571429,0.4875,0.2702702702702703,0.4166666666666667,0.5178571428571429,0.32786885245901637,0.37593984962406013,0.48214285714285715,10.0,29.0,27.0,14.0,56,24,56,56
0,4,"[0, 1, 2, 3]",oversample,True,True,0,0,,svm_rbf,0.026279926300048828,112,80,0.6313244047619048,0.6375,0.38095238095238093,0.3333333333333333,0.7678571428571429,0.35555555555555557,0.3418803418803419,0.23214285714285715,8.0,43.0,13.0,16.0,56,24,56,56
0,4,"[0, 1, 2, 3]",oversample,True,True,0,0,,rf,0.6234910488128662,112,80,0.5066964285714286,0.6125,0.3157894736842105,0.25,0.7678571428571429,0.27906976744186046,0.2608695652173913,0.23214285714285715,6.0,43.0,13.0,18.0,56,24,56,56
0,4,"[0, 1, 2, 3]",oversample,True,True,0,0,,gb,0.5016448497772217,112,80,0.47842261904761907,0.6,0.16666666666666666,0.08333333333333333,0.8214285714285714,0.1111111111111111,0.0925925925925926,0.17857142857142858,2.0,46.0,10.0,22.0,56,24,56,56
0,4,"[0, 1, 2, 3]",oversample,True,True,0,0,,knn,0.028094053268432617,112,80,0.5223214285714286,0.575,0.34375,0.4583333333333333,0.625,0.39285714285714285,0.42968749999999994,0.375,11.0,35.0,21.0,13.0,56,24,56,56
1,3,"[0, 1, 2]",none,True,True,0,0,,logreg,0.029555082321166992,80,80,0.35416666666666674,0.3625,0.2127659574468085,0.4166666666666667,0.3392857142857143,0.28169014084507044,0.3496503496503497,0.6607142857142857,10.0,19.0,37.0,14.0,56,24,56,24
1,3,"[0, 1, 2]",none,True,True,0,0,,svm_rbf,0.037561893463134766,80,80,0.6041666666666667,0.6375,0.4,0.4166666666666667,0.7321428571428571,0.40816326530612246,0.41322314049586784,0.26785714285714285,10.0,41.0,15.0,14.0,56,24,56,24
1,3,"[0, 1, 2]",none,True,True,0,0,,rf,0.6154177188873291,80,80,0.6160714285714285,0.625,0.25,0.125,0.8392857142857143,0.16666666666666666,0.1388888888888889,0.16071428571428573,3.0,47.0,9.0,21.0,56,24,56,24
1,3,"[0, 1, 2]",none,True,True,0,0,,gb,0.3096499443054199,80,80,0.590029761904762,0.6625,0.45161290322580644,0.5833333333333334,0.6964285714285714,0.509090909090909,0.5511811023622047,0.30357142857142855,14.0,39.0,17.0,10.0,56,24,56,24
1,3,"[0, 1, 2]",none,True,True,0,0,,knn,0.016721010208129883,80,80,0.5632440476190477,0.625,0.36363636363636365,0.3333333333333333,0.75,0.34782608695652173,0.33898305084745767,0.25,8.0,42.0,14.0,16.0,56,24,56,24
1,3,"[0, 1, 2]",oversample,True,True,0,0,,logreg,0.022897958755493164,112,80,0.39434523809523814,0.3375,0.21568627450980393,0.4583333333333333,0.2857142857142857,0.29333333333333333,0.37414965986394555,0.7142857142857143,11.0,16.0,40.0,13.0,56,24,56,56
1,3,"[0, 1, 2]",oversample,True,True,0,0,,svm_rbf,0.02256608009338379,112,80,0.6510416666666666,0.625,0.425,0.7083333333333334,0.5892857142857143,0.53125,0.625,0.4107142857142857,17.0,33.0,23.0,7.0,56,24,56,56
1,3,"[0, 1, 2]",oversample,True,True,0,0,,rf,0.6020481586456299,112,80,0.6346726190476191,0.6875,0.4782608695652174,0.4583333333333333,0.7857142857142857,0.46808510638297873,0.46218487394957986,0.21428571428571427,11.0,44.0,12.0,13.0,56,24,56,56
1,3,"[0, 1, 2]",oversample,True,True,0,0,,gb,0.39130616188049316,112,80,0.6041666666666666,0.6375,0.3684210526315789,0.2916666666666667,0.7857142857142857,0.32558139534883723,0.3043478260869565,0.21428571428571427,7.0,44.0,12.0,17.0,56,24,56,56
1,3,"[0, 1, 2]",oversample,True,True,0,0,,knn,0.020699024200439453,112,80,0.5930059523809523,0.5875,0.37142857142857144,0.5416666666666666,0.6071428571428571,0.4406779661016949,0.4961832061068702,0.39285714285714285,13.0,34.0,22.0,11.0,56,24,56,56
1,4,"[0, 1, 2, 3]",none,True,True,0,0,,logreg,0.03116321563720703,80,80,0.43377976190476186,0.475,0.23529411764705882,0.3333333333333333,0.5357142857142857,0.27586206896551724,0.3076923076923077,0.4642857142857143,8.0,30.0,26.0,16.0,56,24,56,24
1,4,"[0, 1, 2, 3]",none,True,True,0,0,,svm_rbf,0.022776126861572266,80,80,0.5699404761904762,0.7,0.5,0.20833333333333334,0.9107142857142857,0.29411764705882354,0.2358490566037736,0.08928571428571429,5.0,51.0,5.0,19.0,56,24,56,24
1,4,"[0, 1, 2, 3]",none,True,True,0,0,,rf,0.5641579627990723,80,80,0.5725446428571428,0.675,0.25,0.041666666666666664,0.9464285714285714,0.07142857142857142,0.04999999999999999,0.05357142857142857,1.0,53.0,3.0,23.0,56,24,56,24
1,4,"[0, 1, 2, 3]",none,True,True,0,0,,gb,0.37798237800598145,80,80,0.4977678571428571,0.6125,0.37037037037037035,0.4166666666666667,0.6964285714285714,0.39215686274509803,0.4065040650406504,0.30357142857142855,10.0,39.0,17.0,14.0,56,24,56,24
1,4,"[0, 1, 2, 3]",none,True,True,0,0,,knn,0.014188051223754883,80,80,0.4791666666666667,0.6625,0.38461538461538464,0.20833333333333334,0.8571428571428571,0.2702702702702703,0.22935779816513763,0.14285714285714285,5.0,48.0,8.0,19.0,56,24,56,24
1,4,"[0, 1, 2, 3]",oversample,True,True,0,0,,logreg,0.0344538688659668,112,80,0.4866071428571429,0.4875,0.2702702702702703,0.4166666666666667,0.5178571428571429,0.32786885245901637,0.37593984962406013,0.48214285714285715,10.0,29.0,27.0,14.0,56,24,56,56
1,4,"[0, 1, 2, 3]",oversample,True,True,0,0,,svm_rbf,0.0378880500793457,112,80,0.6313244047619048,0.6375,0.38095238095238093,0.3333333333333333,0.7678571428571429,0.35555555555555557,0.3418803418803419,0.23214285714285715,8.0,43.0,13.0,16.0,56,24,56,56
1,4,"[0, 1, 2, 3]",oversample,True,True,0,0,,rf,0.5679352283477783,112,80,0.5066964285714286,0.6125,0.3157894736842105,0.25,0.7678571428571429,0.27906976744186046,0.2608695652173913,0.23214285714285715,6.0,43.0,13.0,18.0,56,24,56,56
1,4,"[0, 1, 2, 3]",oversample,True,True,0,0,,gb,0.3272688388824463,112,80,0.47842261904761907,0.6,0.16666666666666666,0.08333333333333333,0.8214285714285714,0.1111111111111111,0.0925925925925926,0.17857142857142858,2.0,46.0,10.0,22.0,56,24,56,56
1,4,"[0, 1, 2, 3]",oversample,True,True,0,0,,knn,0.014644861221313477,112,80,0.5223214285714286,0.575,0.34375,0.4583333333333333,0.625,0.39285714285714285,0.42968749999999994,0.375,11.0,35.0,21.0,13.0,56,24,56,56
